Typecode ROC HalfROC Seq ROCpin TrLink TrCell iring iphi t trace 
TM-A5A6		0		0		0		0		1		0		5		4		1		0
TM-A5A6		0		0		1		1		1		0		4		4		1		0
TM-A5A6		0		0		2		2		1		0		5		5		1		0
TM-A5A6		0		0		3		3		1		0		4		5		1		0
TM-A5A6		0		0		4		4		1		0		5		6		1		0
TM-A5A6		0		0		5		5		1		0		4		6		1		0
TM-A5A6		0		0		6		6		1		0		5		7		1		0
TM-A5A6		0		0		7		7		1		0		4		7		1		0
TM-A5A6		0		0		8		8		-1		-1		-1		-1		-1		0
TM-A5A6		0		0		9		9		1		0		5		2		1		0
TM-A5A6		0		0		10		10		1		0		4		2		1		0
TM-A5A6		0		0		11		11		1		0		5		3		1		0
TM-A5A6		0		0		12		12		1		0		4		3		1		0
TM-A5A6		0		0		13		13		1		0		5		0		1		0
TM-A5A6		0		0		14		14		1		0		4		0		1		0
TM-A5A6		0		0		15		15		1		0		5		1		1		0
TM-A5A6		0		0		16		16		1		0		4		1		1		0
TM-A5A6		0		0		17		17		-1		-1		-1		-1		-1		0
TM-A5A6		0		0		18		18		-1		-1		-1		-1		-1		0
TM-A5A6		0		0		19		19		2		0		3		0		1		0
TM-A5A6		0		0		20		20		2		0		2		0		1		0
TM-A5A6		0		0		21		21		2		0		3		1		1		0
TM-A5A6		0		0		22		22		2		0		2		1		1		0
TM-A5A6		0		0		23		23		2		0		3		6		1		0
TM-A5A6		0		0		24		24		2		0		2		6		1		0
TM-A5A6		0		0		25		25		2		0		3		7		1		0
TM-A5A6		0		0		26		26		2		0		2		7		1		0
TM-A5A6		0		0		27		27		-1		-1		-1		-1		-1		0
TM-A5A6		0		0		28		28		2		0		3		4		1		0
TM-A5A6		0		0		29		29		2		0		2		4		1		0
TM-A5A6		0		0		30		30		2		0		3		5		1		0
TM-A5A6		0		0		31		31		2		0		2		5		1		0
TM-A5A6		0		0		32		32		2		0		3		2		1		0
TM-A5A6		0		0		33		33		2		0		2		2		1		0
TM-A5A6		0		0		34		34		2		0		3		3		1		0
TM-A5A6		0		0		35		35		2		0		2		3		1		0
TM-A5A6		0		1		0		36		3		0		1		2		1		0
TM-A5A6		0		1		1		37		3		0		0		2		1		0
TM-A5A6		0		1		2		38		3		0		1		3		1		0
TM-A5A6		0		1		3		39		3		0		0		3		1		0
TM-A5A6		0		1		4		40		3		0		1		0		1		0
TM-A5A6		0		1		5		41		3		0		0		0		1		0
TM-A5A6		0		1		6		42		3		0		1		1		1		0
TM-A5A6		0		1		7		43		3		0		0		1		1		0
TM-A5A6		0		1		8		44		-1		-1		-1		-1		-1		0
TM-A5A6		0		1		9		45		3		0		1		6		1		0
TM-A5A6		0		1		10		46		3		0		0		6		1		0
TM-A5A6		0		1		11		47		3		0		1		7		1		0
TM-A5A6		0		1		12		48		3		0		0		7		1		0
TM-A5A6		0		1		13		49		3		0		1		4		1		0
TM-A5A6		0		1		14		50		3		0		0		4		1		0
TM-A5A6		0		1		15		51		3		0		1		5		1		0
TM-A5A6		0		1		16		52		3		0		0		5		1		0
TM-B11B12		0		0		0		0		1		0		17		4		1		0
TM-B11B12		0		0		1		1		1		0		16		4		1		0
TM-B11B12		0		0		2		2		1		0		17		5		1		0
TM-B11B12		0		0		3		3		1		0		16		5		1		0
TM-B11B12		0		0		4		4		1		0		17		6		1		0
TM-B11B12		0		0		5		5		1		0		16		6		1		0
TM-B11B12		0		0		6		6		1		0		17		7		1		0
TM-B11B12		0		0		7		7		1		0		16		7		1		0
TM-B11B12		0		0		8		8		-1		-1		-1		-1		-1		0
TM-B11B12		0		0		9		9		1		0		17		2		1		0
TM-B11B12		0		0		10		10		1		0		16		2		1		0
TM-B11B12		0		0		11		11		1		0		17		3		1		0
TM-B11B12		0		0		12		12		1		0		16		3		1		0
TM-B11B12		0		0		13		13		1		0		17		0		1		0
TM-B11B12		0		0		14		14		1		0		16		0		1		0
TM-B11B12		0		0		15		15		1		0		17		1		1		0
TM-B11B12		0		0		16		16		1		0		16		1		1		0
TM-B11B12		0		0		17		17		-1		-1		-1		-1		-1		0
TM-B11B12		0		0		18		18		-1		-1		-1		-1		-1		0
TM-B11B12		0		0		19		19		2		0		15		0		1		0
TM-B11B12		0		0		20		20		2		0		14		0		1		0
TM-B11B12		0		0		21		21		2		0		15		1		1		0
TM-B11B12		0		0		22		22		2		0		14		1		1		0
TM-B11B12		0		0		23		23		2		0		15		6		1		0
TM-B11B12		0		0		24		24		2		0		14		6		1		0
TM-B11B12		0		0		25		25		2		0		15		7		1		0
TM-B11B12		0		0		26		26		2		0		14		7		1		0
TM-B11B12		0		0		27		27		-1		-1		-1		-1		-1		0
TM-B11B12		0		0		28		28		2		0		15		4		1		0
TM-B11B12		0		0		29		29		2		0		14		4		1		0
TM-B11B12		0		0		30		30		2		0		15		5		1		0
TM-B11B12		0		0		31		31		2		0		14		5		1		0
TM-B11B12		0		0		32		32		2		0		15		2		1		0
TM-B11B12		0		0		33		33		2		0		14		2		1		0
TM-B11B12		0		0		34		34		2		0		15		3		1		0
TM-B11B12		0		0		35		35		2		0		14		3		1		0
TM-B11B12		0		1		0		36		3		0		13		2		1		0
TM-B11B12		0		1		1		37		3		0		12		2		1		0
TM-B11B12		0		1		2		38		3		0		13		3		1		0
TM-B11B12		0		1		3		39		3		0		12		3		1		0
TM-B11B12		0		1		4		40		3		0		13		0		1		0
TM-B11B12		0		1		5		41		3		0		12		0		1		0
TM-B11B12		0		1		6		42		3		0		13		1		1		0
TM-B11B12		0		1		7		43		3		0		12		1		1		0
TM-B11B12		0		1		8		44		-1		-1		-1		-1		-1		0
TM-B11B12		0		1		9		45		3		0		13		6		1		0
TM-B11B12		0		1		10		46		3		0		12		6		1		0
TM-B11B12		0		1		11		47		3		0		13		7		1		0
TM-B11B12		0		1		12		48		3		0		12		7		1		0
TM-B11B12		0		1		13		49		3		0		13		4		1		0
TM-B11B12		0		1		14		50		3		0		12		4		1		0
TM-B11B12		0		1		15		51		3		0		13		5		1		0
TM-B11B12		0		1		16		52		3		0		12		5		1		0
TM-B11B12		0		1		17		53		-1		-1		-1		-1		-1		0
